"code","province","name"
"Z366","EE","VENDA"
"Z367","EE","CISKEI"
"Z368","EE","ERITREA"
"Z400","EE","BERMUDE"
"Z401","EE","CANADA"
"Z402","EE","GROENLANDIA"
"Z403","EE","SAINT PIERRE ET MIQUELON"
"Z404","EE","STATI UNITI D'AMERICA"
"Z500","EE","ANTILLE BRITANNICHE"
"Z501","EE","ANTILLE OLANDESI"
"Z502","EE","BAHAMA"
"Z503","EE","COSTA RICA"
"Z504","EE","CUBA"
"Z505","EE","REPUBBLICA DOMINICANA"
"Z506","EE","EL SALVADOR"
"Z507","EE","GIAMAICA"
"Z508","EE","GUADALUPA"
"Z509","EE","GUATEMALA"
"Z510","EE","HAITI"
"Z511","EE","HONDURAS"
"Z512","EE","BELIZE"
"Z513","EE","MARTINICA"
"Z514","EE","MESSICO"
"Z515","EE","NICARAGUA"
"Z516","EE","PANAMA"
"Z517","EE","PANAMA ZONA DEL CANALE"
"Z518","EE","PUERTO RICO"
"Z519","EE","TURKS"
"Z520","EE","ISOLE VERGINI"
"Z522","EE","BARBADOS"
"Z523","EE","ANTILLE BRITANNICHE"
"Z524","EE","GRENADA"
"Z525","EE","ISOLE VERGINI BRITANNICHE "
"Z526","EE","DOMINICA"
"Z527","EE","SAINT LUCIA"
"Z528","EE","SAINT VINCENT E GRENADINE"
"Z529","EE","ISOLA ANGUILLA"
"Z530","EE","ISOLE CAYMAN"
"Z531","EE","MONTSERRAT"
"Z532","EE","ANTIGUE E BARBUDA"
"Z533","EE","SAINT KITTS E NEVIS"
"Z600","EE","ARGENTINA"
"Z601","EE","BOLIVIA"
"Z602","EE","BRASILE"
"Z603","EE","CILE"
"Z604","EE","COLOMBIA"
"Z605","EE","ECUADOR"
"Z606","EE","REPUBBLICA DELLA GUAYANA"
"Z607","EE","GUAYANA FRANCESE"
"Z608","EE","SURINAME"
"Z609","EE","MALVINE"
"Z610","EE","PARAGUAY"
"Z611","EE","PERU"
"Z612","EE","TRINIDAD E TOBAGO"
"Z613","EE","URUGUAY"
"Z614","EE","VENEZUELA"
"Z700","EE","AUSTRALIA"
"Z701","EE","CAROLINE"
"Z702","EE","CHRISTMAS"
"Z703","EE","COOK"
"Z704","EE","FIGI O VITI"
"Z705","EE","ELLICE"
"Z706","EE","GUAM"
"Z707","EE","IRIAN OCCIDENTALE"
"Z708","EE","MACQUARIE"
"Z709","EE","MARCUS"
"Z710","EE","MARIANNE"
"Z711","EE","MARSHALL"
"Z712","EE","MIDWAY"
"Z713","EE","NAURU"
"Z714","EE","SAVAGE"
"Z715","EE","NORFOLK"
"Z716","EE","NUOVA CALEDONIA"
"Z717","EE","NUOVE EBRIDI"
"Z718","EE","NUOVA GUINEA"
"Z719","EE","NUOVA ZELANDA"
"Z720","EE","PAPUASIA"
"Z721","EE","PASQUA"
"Z722","EE","PITCAIRN"
"Z723","EE","POLINESIA"
"Z724","EE","SALOMONE"
"Z725","EE","SAMOA AMERICANE"
"Z726","EE","SAMOA OCCIDENTALI"
"Z727","EE","TOKELAU"
"Z728","EE","TONGA O DEGLI AMICI"
"Z729","EE","WALLIS"
"Z730","EE","PAPUA NUOVA GUINEA"
"Z731","EE","KIRIBATI"
"Z732","EE","TUVALU"
"Z733","EE","VANUATU"
"Z734","EE","PALAU REPUBBLICA"
"Z735","EE","MICRONESIA STATI FEDERALI / MICRONESIA"
"Z800","EE","DIPENDENZE CANADESI"
"Z801","EE","DIPENDENZE NORVEGESI"
"Z802","EE","DIPENDENZE SOVIETICHE"
"Z900","EE","DIPENDENZE AUSTRALIANE"
"Z901","EE","DIPENDENZE BRITANNICHE"
"Z902","EE","DIPENDENZE FRANCESI"
"Z903","EE","DIPENDENZE NEOZELANDESI"
"Z905","EE","DIPENDENZE NORVEGESI"
"Z906","EE","DIPENDENZE SUDAFRICANE"
